fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Tipo Vinho
7.4;0.59;0.14;1.9;0.076;11.0;34.0;0.9978;3.42;0.56;9.4;5.0;Red
7.8;0.59;0.14;2.6;0.086;25.0;67.0;0.9968;3.2;0.68;9.8;5.0;Red
7.8;0.59;0.14;2.3;0.086;15.0;54.0;0.997;3.26;0.65;9.8;5.0;Red
8.8;0.28;0.49;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;6.0;Red
7.4;0.59;0.14;1.9;0.076;11.0;34.0;0.9978;3.42;0.56;9.4;5.0;Red
7.4;0.59;0.14;1.8;0.075;13.0;40.0;0.9978;3.42;0.56;9.4;5.0;Red
7.9;0.59;0.14;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5.0;Red
7.3;0.59;0.14;1.3;0.065;15.0;30.0;0.9946;3.39;0.47;10.0;7.0;Red
7.8;0.58;0.14;2.0;0.073;9.0;30.0;0.9968;3.36;0.57;9.5;7.0;Red
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.72;10.5;5.0;Red
6.7;0.58;0.14;1.8;0.086;15.0;65.0;0.9959;3.28;0.54;9.2;5.0;Red
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.72;10.5;5.0;Red
6.0;0.59;0.14;1.6;0.086;16.0;59.0;0.9943;3.42;0.52;9.9;5.0;Red
7.8;0.59;0.29;1.6;0.086;9.0;30.0;0.9974;3.26;0.72;9.1;5.0;Red
8.8;0.59;0.18;3.8;0.086;52.0;145.0;0.9984;3.16;0.72;9.2;5.0;Red
8.8;0.59;0.19;3.9;0.086;51.0;148.0;0.9984;3.17;0.72;9.2;5.0;Red
8.5;0.28;0.49;1.8;0.086;35.0;103.0;0.9969;3.3;0.72;10.5;7.0;Red
8.1;0.56;0.28;1.7;0.086;16.0;56.0;0.9968;3.11;0.72;9.3;5.0;Red
7.4;0.59;0.14;4.4;0.086;9.0;30.0;0.9974;3.38;0.5;9.1;5.0;Red
7.9;0.32;0.49;1.8;0.086;17.0;56.0;0.9969;3.04;0.72;9.2;6.0;Red
8.8;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;6.0;Red
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.42;0.65;9.7;5.0;Red
7.9;0.43;0.21;1.6;0.086;10.0;37.0;0.9966;3.17;0.72;9.5;5.0;Red
8.5;0.49;0.14;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5.0;Red
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.42;0.63;9.7;6.0;Red
6.3;0.39;0.16;1.4;0.08;11.0;30.0;0.9955;3.34;0.56;9.3;5.0;Red
7.6;0.41;0.24;1.8;0.08;9.0;30.0;0.9962;3.28;0.59;9.5;5.0;Red
7.9;0.43;0.21;1.6;0.086;10.0;37.0;0.9966;3.17;0.72;9.5;5.0;Red
7.1;0.59;0.14;1.9;0.08;14.0;35.0;0.9972;3.42;0.55;9.4;5.0;Red
7.8;0.59;0.14;2.0;0.08199999999999999;9.0;30.0;0.9964;3.38;0.59;9.8;6.0;Red
6.7;0.59;0.14;2.4;0.086;17.0;82.0;0.9958;3.35;0.54;10.1;5.0;Red
6.9;0.59;0.14;2.5;0.086;22.0;37.0;0.9966;3.42;0.57;10.6;6.0;Red
8.3;0.59;0.14;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;5.0;Red
6.9;0.59;0.14;10.7;0.073;40.0;83.0;0.9984;3.42;0.52;9.4;6.0;Red
6.0;0.32;0.25;1.8;0.086;13.0;50.0;0.9957;3.38;0.55;9.2;5.0;Red
7.8;0.59;0.14;5.5;0.086;9.0;30.0;0.9984;3.4;0.55;9.6;6.0;Red
7.8;0.59;0.14;2.4;0.086;9.0;30.0;0.9975;3.42;0.6;10.8;6.0;Red
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.72;9.7;7.0;Red
6.0;0.59;0.14;1.5;0.086;9.0;30.0;0.994;3.42;0.48;9.8;5.0;Red
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.72;10.5;5.0;Red
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.72;10.5;5.0;Red
8.8;0.59;0.3;2.8;0.086;17.0;46.0;0.9976;3.26;0.51;9.3;5.0;Red
7.5;0.49;0.2;2.6;0.086;9.0;30.0;0.9968;3.21;0.72;10.5;6.0;Red
8.1;0.59;0.22;2.2;0.069;9.0;30.0;0.9968;3.3;0.72;10.3;5.0;Red
6.8;0.59;0.14;1.8;0.05;9.0;30.0;0.9962;3.42;0.52;9.5;5.0;Red
6.0;0.52;0.15;2.1;0.054000000000000006;9.0;65.0;0.9934;3.42;0.56;12.3;5.0;Red
7.7;0.59;0.43;2.2;0.086;22.0;114.0;0.997;3.25;0.72;9.2;5.0;Red
8.7;0.29;0.49;1.6;0.086;12.0;37.0;0.9969;3.25;0.58;9.5;5.0;Red
6.4;0.4;0.23;1.6;0.066;9.0;30.0;0.9958;3.34;0.56;9.2;5.0;Red
6.0;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;5.0;Red
8.8;0.59;0.26;1.7;0.07400000000000001;9.0;30.0;0.9971;3.15;0.72;9.2;5.0;Red
6.6;0.52;0.14;2.2;0.069;9.0;30.0;0.9956;3.4;0.63;9.4;6.0;Red
6.6;0.5;0.14;2.1;0.068;9.0;30.0;0.9955;3.39;0.64;9.4;6.0;Red
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;5.0;Red
7.6;0.51;0.15;2.8;0.086;33.0;73.0;0.9955;3.17;0.63;10.2;6.0;Red
7.7;0.59;0.14;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;5.0;Red
8.8;0.42;0.49;3.4;0.07;9.0;30.0;0.9971;3.04;0.63;9.6;5.0;Red
7.5;0.59;0.14;5.1;0.086;50.0;110.0;0.9983;3.26;0.72;9.4;5.0;Red
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.42;0.59;10.0;5.0;Red
7.3;0.39;0.31;2.4;0.07400000000000001;9.0;46.0;0.9962;3.41;0.54;9.4;6.0;Red
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.42;0.64;9.2;5.0;Red
7.7;0.59;0.49;1.8;0.086;20.0;112.0;0.9968;3.21;0.71;9.3;5.0;Red
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;7.0;Red
7.0;0.59;0.14;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;5.0;Red
7.2;0.59;0.14;4.65;0.086;9.0;30.0;0.9962;3.41;0.39;10.9;5.0;Red
7.2;0.59;0.14;4.65;0.086;9.0;30.0;0.9962;3.41;0.39;10.9;5.0;Red
7.5;0.52;0.14;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6;5.0;Red
6.6;0.59;0.14;1.6;0.076;9.0;30.0;0.9962;3.42;0.58;10.7;5.0;Red
8.8;0.32;0.49;2.0;0.07400000000000001;27.0;65.0;0.9969;3.28;0.72;10.7;5.0;Red
8.0;0.59;0.14;1.9;0.07400000000000001;9.0;30.0;0.9962;3.34;0.72;10.5;6.0;Red
7.7;0.59;0.14;1.9;0.076;15.0;30.0;0.9967;3.32;0.54;9.5;6.0;Red
7.7;0.59;0.23;2.1;0.086;17.0;96.0;0.9962;3.32;0.48;9.5;5.0;Red
7.7;0.59;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5.0;Red
8.3;0.59;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;5.0;Red
8.8;0.32;0.49;2.5;0.086;28.0;83.0;0.9984;3.28;0.72;9.6;5.0;Red
8.8;0.41;0.49;2.2;0.086;9.0;42.0;0.9984;3.42;0.66;10.5;5.0;Red
8.8;0.41;0.49;2.2;0.086;9.0;42.0;0.9984;3.42;0.66;10.5;5.0;Red
6.8;0.59;0.14;2.4;0.086;14.0;30.0;0.9966;3.42;0.55;10.7;6.0;Red
6.7;0.59;0.14;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;5.0;Red
8.3;0.59;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;0.72;9.1;5.0;Red
