CLASSE,TEXTO
POS,DECS RELOCAR EQUIPAMENTOS DA ENTRADA DA LT-05C6 SJI BEA - PRS. BB. TPC PARA CONSTRUÇÃO DE BASES DO BCS. TROCA DE CONECTOR E ISOLADORES DO TERMINAL DE ENTRADA DA MESMA LT. SOML REALIZAR SUBSTITUIÇÃO DE ESPAÇADORES DANIFICADOS AO LONGO DA LT-05C6 SJI BEA.
POS,MANUTENÇÃO PREVENTIVA LINHA DE PULVERIZAÇÃO DE CARVÃO 12
POS,LAVAR CADEIA DE ISOLADORES POLUIDOS.
POS,SUBSTITUIÇÃO DA CONEXÃO TUBULAR ENTRE O DISJUNTOR 2052-04 E A SECCIONADORA 2029-16
POS,ENSAIO DE RESISTÊNCIA DE CONTATO NO 1652-2 E MPP NO ANEL COLETOR DO GERADOR .
POS,ENSAIO DE RESISTÊNCIA DE CONTATO NO 1652-3 E MPP NO ANEL COLETOR DO GERADOR .
POS,ENSAIO DE RESISTÊNCIA DE CONTATO NO 1652-4 E MPP NO ANEL COLETOR DO GERADOR .
POS,ENSAIO DE RESISTÊNCIA DE CONTATO NO 1652-5 E MPP NO ANEL COLETOR DO GERADOR .
POS,ENSAIO DE RESISTÊNCIA DE CONTATO NO 1652-6 E MPP NO ANEL COLETOR DO GERADOR .
POS,IMPLEMENTAÇÃO DA MEDIÇÃO DE FATURAMENTO MAE ONS .
POS,IMPLEMENTAÇÃO DA MEDIÇÃO DE FATURAMENTO MAE ONS .
POS,IMPLEMENTAÇÃO DA MEDIÇÃO DE FATURAMENTO MAE ONS .
POS,MPP-G E IMPLANTAÇÃO DE MEDIÇÃO .
POS,POSSIBILITAR DESVIO DE CARDUME E FECHAMENTO DA UG-2 .
POS,POSSIBILITAR DESVIO DE CARDUME E FECHAMENTO DA UG-2 .
POS,IMPLEMENTAÇÃO DA MEDIÇÃO DE FATURAMENTO MAE ONS .
POS,IMPLEMENTAÇÃO DE MEDIÇÃO DE FATURAMENTO MAE ONS .
POS,EFETUAR MANUTENÇÃO PREVENTIVA NO BANCO DE CAPACITOR.
POS,START UP  DE MEDIDORES DE GERAÇÃO BRUTA . DE FATURAMENTO PRINCIPAL E RETAGUARDA .
POS,SUBSTITUIÇÃO DO TR-1 PELO  TR RESERVA  E LIMPEZA DE RADIADORES .
POS,SUBSTITUIÇÃO E TRATAMENTO DO ÓLEO DO TR-4 E LIMPEZA DE RADIADORES .
POS,MPP-1 E POSSIBILITAR LIMPEZA DE GRADES DA UG-3 .
POS,MPP-1 E LIMPEZA DE GRADES DA TA .
POS,MPP-1 E POSSIBILITAR LIMPEZA DE GRADES DA UG-2 .
POS,SNSF CORRIGIR SM-0174 03 - VAZAMENTO DE ÓLEO
POS,SNSF SUBSTITUIR RADIADORES COM VAZAMENTO
POS,REINSTALAÇÃO DOS 3TC-3 FASES AZUL E BRANCA
POS,START UP  DE MEDIDORES DE GERAÇÃO BRUTA . DE FATURAMENTO PRINCIPAL E RETAGUARDA .
POS,MANUTENÇÃO PREVENTIVA PERIÓDICA GERAL NA SECCIONADORA 129-12
POS,POSSIBILITAR DESVIO DE CARDUME E FECHAMENTO DA UG-1 .
POS,DECS RELOCAR EQUIPAMENTOS DA ENTRADA DA LT-05C5 SJI SOB PARA CONSTRUÇÃO DO BANCO CAPACITOR SÉRIE. TROCA DE CONECTORES E ISOLADORES DO TERMINAL DE ENTRADA DA MESMA LT.
POS,NORMALIZAÇÃO DA CONEXÃO ENTRE A SECCIONADORA 129-10 E A BARRA PRINCIPAL DE 230 KV
POS,SNSF 1 - EFETUAR INTERVENÇÃO PREVENTIVA NIVEL 3 NO 04H1            2 - EFETUAR INTERVENÇÃO PREVENTIVA NIVEL 3 NO 14H1            3 - CORRIGIR SM-158 03 NA CHAVE 34H1-6 - DESREGULADA            4 - CORRIGIR SM-069 03 NO 14H1 - CONTADOR OPERAÇÃO            5 - PEGAR DADOS PLACA 34H1-7.
POS,POSSIBILITAR DESVIO DE CARDUME E FECHAMENTO DA UG-1 .
POS,SNSF CORRIGIR SM-205 03 - VAZAMENTO DE ÓLEO NO CIRCUITO HIDRÁULICO NO 12H1.
POS,POSSIBILITAR LIMPEZA DE GRADES DAS UG S- 1 E 3 .
POS,POSSIBILITAR LIMPEZA DE GRADES DAS UG S- 2 E 3 .  
POS,VERIFICAÇÃO DO CIRCUÍTO DE SINCRONISMO E SEQÜÊNCIA DE FASES DA UG-02
POS,MPP- 1.
POS,MPP - 1.
POS,MPP -1.
POS,MPP - 1 .
POS,MPP - 1.
POS,MPP- 2
POS,MPP - 2 E LIMPEZA DE GRADES DA TA .
POS,34T1-1A 5A 7 CMD - 01 - EFETUAR DESCONEXÃO DOS PULOS LADO DO 94T1-A COM USO  DE T.E.E.  34T1-5A 7 CMD - 02 - EFETUAR MANUTENÇÃO PREVENTIVA NÍVEL  0 .  34T1-5A 7 CMD - 03 - EFETUAR CONEXÃO DOS PULOS LADO DO 94T1-A COM A   34T1-5A E 34T1-7 COM USO DE T.E.E.  34T1-1A    CMD - 01 - EFETUAR MANUTENÇÃO PREVENTIVA NÍVEL  O    
POS,DESCONEXÃO E POSTERIOR RECONEXÃO DA CHAVE 2M5 A BARRA Nº5 DE 230 KV
POS,CORREÇÃO DE ANOMALIA NO SISTEMA DE FRENAGEM DA UG-02
POS,ENSAIOS OPERACIONAIS
POS,INSPEÇÃO TRIMESTRAL EM ESCOVAS.   INSPEÇÃO NAS CONTACTORAS DAS BOMBAS QPS.   INSPEÇÃO NAS PONTES DE TIRISTORES DO REGULADOR DE TENSÃO.
POS,INSPEÇÃO TRIMESTRAL DE ESCOVAS   INSPEÇÃO NO VENTILADOR DO REGULADOR AUTOMÁTICO DE TENSÃO (RAT)
POS,INSPEÇÃO TRIMESTRAL DE ESCOVAS  INPEÇÃO NO  VENTILADOR DO REGULADOR AUTOMÁTICO DE TENSÃO (RAT)
POS,INSPEÇÃO TRIMESTRAL EM ESCOVAS.   INSPEÇÃO NAS PONTES DE TIRISTORES DO REGULADOR DE TENSÃO.
POS,MANUTENÇÃO TRIMESTRAL DE ESCOVAS  INSPEÇÃO NO VENTILADOR DO REGULADOR AUTOMÁTICO DE TENSÃO (RAT)
POS,INSPEÇÃO NAS ESCOVAS DA UNIDADE 1
POS,INSPEÇÃO TRIMESTRAL DE ESCOVAS  INSPEÇÃO NO VENTILADOR DO REGULADOR AUTOMÁTICO DE TENSÃO (RAT)
POS,INSPEÇÃO NAS ESCOVAS DA MÁQUINA 2
POS,INSPEÇÃO DAS GRADES DA TOMADA D ÁGUA DA UNIDADE 4.  INSPEÇÃO EM ESCOVAS DA UNIDADE 3.
POS,SUBSTITUIÇÃO DO TRANSFORMADOR ELEVADOR PELO RESERVA.  INSPEÇÃO E REFORÇO DAS GRADES DA TOMADA D ÁGUA.  INSPEÇÃO EM ESCOVAS DA MÁQUINA 4.
POS,34T1-5B CMD - 01 - EFETUAR MANUTENÇÃO PREVENTIVA NÍVEL 0 DAS 00:01 DIA  06 01 04 ÁS 16:30 DIA 06 01 04      34T1-5B CMD - 01 - CONEXÃO DOS PULOS LADO 94T1-B DAS 16:30 ÀS 17:30 DIA 06 01 04. COM USO DE T.E.E.     
POS,INSPEÇÃO VISUAL NA TURBINA.     MANUTENÇÃO DE ESCOVAS.     LIMPEZA DO SISTEMA DE RESFRIAMENTO.
POS,RETIRADA DAS COMPORTAS DE MANUTENÇÃO JUSANTE E MONTANTE DA UG-02 COM AUXILIO DE MERGULHADORES
POS,INSPEÇÃO VISUAL NA TURBINA   MANUTENÇÃO NAS ESCOVAS   LIMPEZA DO SISTEMA DE RESFRIAMENTO
POS,INSPEÇÃO COM PARTÍCULAS MAGNÉTICAS NA TURBINA.  MANUTENÇÃO NAS ESCOVAS.  LIMPEZA DO SISTEMA DE RESRIAMENTO.
POS,INSPEÇÃO VISUAL NA TURBINA     MANUTENÇÃO NAS ESCOVAS     LIMPEZA DO SISTEMA DE RESFRIAMENTO
POS,ADEQUAÇÃO NO AUTOMATISMO DA COMPORTA DE EMERGÊNCIA DA UG-04.
POS,RECAPACITAÇÃO DA LT 04C1-RCD PRD. FIM POSSIBILITAR ENTRADA DA TERMOPERNAMBUCO.
POS,RECAPACITAÇÃO DA LT 04C2-RCD PRD. FIM POSSIBILITAR ENTRADA DA TERMOPERNAMBUCO.
POS,CMD  - 01 - EFETUAR MP. 34T3-2A .   CMD - ( A ) EFETUAR DESCONEXÃO DOS PULOS DA 34T3-5A LADO 94T3-A DAS        08:00H ÀS 09:00H DO DIA 09 01 04 COM USO DE T.E.E. ( B ) EFETUAR MP. 34T3-5A DAS 09:00 DO DIA 09 01 04 ÀS 16:30 DO DIA      10 01 04 ( C ) EFETUAR CONEXÃO DOS PULOS DA 34T3-5A LADO 94T3-A DAS 16:30       ÀS 17:30 DO DIA 10 01 04.    
POS,CMD - 01 - EFETUAR MANUTENCAO PREVENTIVA NA CHAVE 34B1-1 .
POS,SUBSTITUIÇÃO DOS SENSORES DE VELOCIDADE E RESPECTIVOS ENSAIOS.
POS,MONTAGEM DE ESTRUTURAS METÁLICAS DO FUTURO MÓDULO 230KV DA LT SANTA ROSA X SANTO ANGELO (ESUL).
POS,MONTAGEM DE ESTRUTURAS DOS NOVOS MÓDULOS DA LT 230KV MAÇAMBARÁ X U. T. URUGUAIANA E DA LT 230KV MAÇAMBARÁ X SANTO ANGELO (ESUL) E MÓDULO DE REATORES.
POS,MONTAGEM DE ESTRUTURAS DOS NOVOS MÓDULOS DA LT 230KV MAÇAMBARÁ X U. T. URUGUAIANA E DA LT 230KV MAÇAMBARÁ X SANTO ANGELO (ESUL) E MÓDULO DE REATORES.
POS,MONTAGEM DE ESTRUTURAS DOS NOVOS MÓDULOS DA LT 230KV MAÇAMBARÁ X U. T. URUGUAIANA E DA LT 230KV MAÇAMBARÁ X SANTO ANGELO (ESUL) E MÓDULO DE REATORES.
POS,MONTAGEM DE ESTRUTURAS DOS NOVOS MÓDULOS DA LT 230KV MAÇAMBARÁ X U. T. URUGUAIANA E DA LT 230KV MAÇAMBARÁ X SANTO ANGELO (ESUL) E MÓDULO DE REATORES.
POS,MONTAGEM DE ESTRUTURAS METÁLICAS DOS FUTUROS MÓDULOS DA LT 230KV MAÇAMBARÁ X USINA TÉRMICA URUGUAIANA E LT 230KV MAÇAMBARÁ X SANTO ÂNGELO (ESUL) E MÓDULO DO REATOR.
POS,REVISÃO E REFORMA GERAL DAS SECCIONADORAS 89-20 E 89-22.
POS,01 - SUBSTITUIÇÃO OSCILO EPCS E REASON. POR OSCILO DIGITAL SIEMENS.   - 02 - RETIRAR OSCILO EPCS E INSTALAR OSCILO SIEMENS          
POS,01 - EFETUAR INPEÇÃO MC CARTELAS DOS CIRCUITOS DE DISPARO DO BC 06H2. FIM VIABILIZAR RETORNO À OPERAÇÃO DO REFERIDO BC. BEM COMO DISPONIBILIZAR O CE PARA O MODO DE OPERAÇÃO AUTOMÁTICO.
POS,EXECUTAR ATIVIDADES PARA IMPLANTAÇÃO DO NOVO SISTEMA DE TELEPROTEÇÃO DO ENLACE MILAGRES ICÓ BANABUIÚ - 04M3  A) SUBSTITUIÇÃO DAS CAIXAS DE SINTONIA - FASES A E B  B) CONEXÃO DO NOVO CABO COAXIAL COM NOVAS CAIXAS DE SINTONIA  
POS,REGENERAÇÃO DO ÓLEO ISOLANTE DO REFERIDO TRAFO.
POS,EXECUTAR ATIVIDADES PARA IMPLANTAÇÃO DO NOVO SISTEMA DE TELEPROTEÇÃO DO ENLACE MILAGRES ICÓ BANABUIÚ - 04M3  A) SUBSTITUIÇÃO DAS CAIXAS DE SINTONIA - FASES A E B  B) CONEXÃO DO NOVO CABO COAXIAL COM NOVAS CAIXAS DE SINTONIA  
POS,EXECUTAR ATIVIDADES PARA IMPLANTAÇÃO DO NOVO SISTEMA DE TELEPROTEÇÃO DO ENLACE MILAGRES ICÓ BANABUIÚ - 04M3  A) SUBSTITUIÇAÕ DAS CAIXAS DE SINTONIA  B) CONEXÃO DO CABO COAXIAL COM NOVAS CAIXAS DE SINTONIA        
POS,EFETUAR ENSAIOS NAS VÁLVULAS
POS,EFETUAR ENSAIOS NAS VÁLVULAS
POS,CORREÇÃO DE VAZAMENTO DE ÓLEO MINERAL ISOLANTE NO AUTOTRANSFORMADOR FASE VM NºDE SÉRIE 5123761. 
POS,TROCA DE ESTAFAS DEFEITUOSAS.
POS,MANUTENÇÃO C3.
POS,DESATIVAÇÃO DOS TPC DAS FASES A E C DA BARRA DE 230 KV E EXECUTAR ADEQUAÇÕES NO TPC DA FASE B.
POS,LAVAGEM DE ISOLADORES POLUIDOS NA LINHA PDLD-LT7-01.
POS,SUBSTITUIÇÃO OSCILO EPCS E REASON. POR OSCILO DIGITAL SIEMENS.
POS,EFETUAR INPEÇÃO MC CARTELAS DOS CIRCUITOS DE DISPARO DO BC 06H2. FIM VIABILIZAR RETORNO À OPERAÇÃO DO REFERIDO BC. BEM COMO DISPONIBILIZAR O CE PARA O MODO DE OPERAÇÃO AUTOMÁTICO.
POS,REFORMA GERAL DA CHAVE 1P2.
POS,REFORMA GERAL DA CHAVE 8P2
POS,SUBSTITUIÇÃO DE BLOCOS DE INTERLIGAÇÃO E CONTACTORES NO CUBÍCULO DO DISJUNTOR 4M4.
POS,TROCA DE ÓLEO C2 NO TPOC FASE B DA BARA 2 DE 345KV
POS,CONTROLE C2 NOS TCS DO DISJUNTOR E SANAR VAZAMENTO DE ÓLEO NO CIRCUITO DE VERDADEIRA IMAGEM DO DISJUNTOR.
POS,CONTROLE C2 NOS TCS DO DISJUNTOR
POS,CONTROLE C2 NOS TCS DO DISJUNTOR
POS,CONTROLE C2 NOS TCS DO DISJUNTOR E SANAR VAZAMENTO DE ÓLEO NO CIRCUITO DE VERDADEIRA IMAGEM DO DISJUNTOR.
POS,TROCA DE ÓLEO C2 NO TPOC FASE B DA BARA 1 DE 345KV
POS,CONTROLE C2 NOS TCS DO VÃO DO DISJUNTOR 14U4
POS,MANUTENÇÃO CORRETIVA NOS TC S DE MEDIÇÃO DO GERADOR.
POS,EFETUAR RECAPACITAÇÃO DA 04C1. TRANSFERÊNCIA DOS CABOS CONDUTORES E PARA-RAIOS PARA NOVA ESTRUTURA. EFETUAR MUDANÇA DE AJUSTES PROTEÇÕES 21 E 67N E RELAÇÃO DOS TC S ASSOCIADOS A LT.
POS,EFETUAR RECAPACITAÇÃO DA 04C2. TRANSFERÊNCIA DOS CABOS CONDUTORES E PARA-RAIOS PARA NOVA ESTRUTURA. EFETUAR MUDANÇA DE AJUSTES PROTEÇÕES 21 E 67N E RELAÇÃO DOS TC S ASSOCIADOS A LT.
POS,TESTES NO RELÉ DE PERDA DE EXCITAÇÃO (40).
POS,RETIFICAÇÃO DOS ANÉIS COLETORES E COMUTADOR DA EXCITATRIZ.
POS,MANUTENCAO PREVENTIVA NAS SECCIONADORAS 12913 E 12833 . MANUTENCAO PREVENTIVA NAS SECCIONADORAS 12913 E 12833 
POS,INSPEÇÃO SEMESTRAL NA CÂMARA COLETORA. NO SISTEMA DE ÓLEO LUBRIFICANTE E NO SISTEMA DE ÁGUA DE RESFRIAMENTO DO IZCS2-02.
POS,DECS - CONECTAR CABOS DE FORÇA AO TERCEARIO DO 05T6. INTEGRANDO CUBÍCULO DE FECHAMENTO DO DELTA    SSMA - EFETUAR COLETA AMOSTRA DE OLEO ISOLANTE NAS BUCHAS H1 X1 EFETUAR MC NAS CHAVES:34T6-2. 34T6-4. 34T6-6 E MP NA 34T6-5    SSCP  IMPLANTAÇÃO DE PARÂMETROS DE AJUSTES E LÓGICAS NAS UNIDADES DEPROTEÇÃO DE SOBRECORRENTE E DIFERENCIAL. SETOR 13.8 KV.   
